pfam_id,clan_id,description
PF22759,,Baseplate hub gp41
PF22760,,Baseplate component gp38
PF22761,,NrS-1 polymerase-like head domain
PF22762,,"NrS-1 polymerase-like, tail domain"
PF22763,,NrS-1  polymerase HBD domain
PF22764,,Tail fiber protein gp32   
PF22765,,Family of unknown function (DUF7010)
PF22766,CL0020,ZW10 C-terminal helical domain
PF22767,CL0123,"Cyanobactin oxidase ThcOx, "
PF22768,,"Siphovirus-type tail component, C-terminal domain"
PF22769,CL0153,dCTP deaminase-like
PF22770,CL0740,POP1 C-terminal domain
PF22771,,"Dermonecrotic toxin, barrel-like domain"
PF22772,CL0113,"WsaF, C-terminal domain"
PF22773,,"Myosin-1, central acidic domain"
PF22774,CL0193,"DNAJC11, beta-barrel domain"
PF22775,CL0598,GA-like domain
PF22776,,K+ potassium transporter C-terminal domain
PF22777,,"Vitamin K-dependent gamma-carboxylase, lumenal domain"
PF22778,CL0525,VCPO second helical-bundle domain 
PF22779,CL0021,"Shieldin complex subunit 2, second OB fold domain"
PF22780,,HI0933-like protein barrel and H2TH domain
PF22781,CL0072,"Vertebrate Splicing regulator sde2, N-terminal ubiquitin domain"
PF22782,,"Splicing regulator SDE2, SDE2 domain"
PF22783,,"BapA, prefix-like domain"
PF22784,CL0031,"Swiss Army Knife protein, DSP-PTPase phosphatase domain"
PF22785,CL0031,"Polymorphic toxin system, DSP-PTPase phosphatase"
PF22786,CL0159,Tag1 C-terminal domain
PF22787,,Tag1 middle barrel-like domain
PF22788,CL0020,"COP9 signalosome complex subunit 3, N-terminal helical repeats"
PF22789,CL0808,Protein of unknown function (DUF4026) C-terminal
PF22790,CL0257,YkoP domain
PF22791,,Domain of unknown function (DUF7011)
PF22792,,Domain of unknown function (DUF7012)
PF22793,,Domain of unknown function (DUF7013)
PF22794,,ZPR1 jelly-roll domain
PF22795,,DUF4796 N-terminal
PF22796,,SlpA N-terminal domain
PF22797,,SlpA domain II
PF22798,CL0123,"DUF5817, C-terminal domain"
PF22799,CL0066,"Cell wall mannoprotein PIR1-like, C-terminal domain"
PF22800,,CFAP410 C-terminal domain
PF22801,CL0007,GLD-3 1st KH domain (aka KH2)
PF22802,,RsiG-like
PF22803,CL0812,Glycan binding domain Y3
PF22804,,F1F0 ATP synthase subunit ASA5
PF22805,,"Protein M, smaller domain"
PF22806,,"Protein M, C-terminal"
PF22807,CL0186,TrAA12-like
PF22808,,RhopH3 C-terminal domain
PF22809,,Domain of unknown function (DUF7014)
PF22810,CL0159,Lytic polysaccharide monooxygenase AA14
PF22811,CL0167,"Transcriptional repressor NrdR-like, N-terminal domain"
PF22812,,Plant cysteine-rich protein domain
PF22813,,TcaA protein second domain
PF22814,CL0029,Carrier-protein-independent halogenase WelO5
PF22815,CL0202,"Alpha-1,3-glucanase catalytic domain D1"
PF22816,CL0268,"Alpha-1,3-glucanase catalytic domain D2"
PF22817,CL0050,ApeP dehydratase
PF22818,CL0050,ApeI dehydratase
PF22819,CL0051,TcaA protein NTF2-like domain
PF22820,CL0159,TcaA protein 3rd/4th domain
PF22821,CL0159,"Zona pellucida sperm-binding proteins 1/4, Ig-like domain"
PF22822,,"MrpR, N-terminal core-binding domain"
PF22823,,"MrpR, C-terminal catalytic domain"
PF22824,,"DNA transposase THAP9, C-terminal domain"
PF22825,CL0202,HpiC1 cyclase
PF22826,CL0004,PL28 ulvan lyases
PF22827,,GldL N-terminal domain
PF22828,,HphA N-terminal heme-binding domain
PF22829,CL0193,HphA C-terminal domain
PF22830,,CATSPERB head domain
PF22831,CL0159,CATSPERB Ig-like domain
PF22832,,PsaO transmembrane domain
PF22833,CL0708,"C5orf34-like, second domain"
PF22834,CL0708,Polo box domain
PF22835,,"Testis-expressed protein 13B-like, middle domain"
PF22836,,"Testis-expressed protein 13B, C-terminal"
PF22837,,"Type II methyltransferase M.Eco57I, C-terminal domain"
PF22838,CL0813,"COMMD8, helical N-terminal domain"
PF22839,CL0815,Domain of unknown function (DUF7015)
PF22840,,CATSPERG N-terminal domain
PF22841,,CATSPERE first N-terminal domain
PF22842,CL0268,"Pel9A-like, right handed beta helix region"
PF22843,,CATSPERE second N-terminal domain
PF22844,CL0186,CATSPERE beta-propeller domain
PF22845,CL0010,"DUF3097, N-terminal domain"
PF22846,,CATSPERG C-terminal domain
PF22847,CL0143,"Arabinosidase BT_3657-like, N-terminal"
PF22848,CL0369,Alpha-L-arabinofuranosidase 1 domain
PF22849,CL0159,CATSPERE Ig-like domain
PF22850,,CATSPERD/E C-terminal domain
PF22851,CL0159,CATSPERG Ig-like domain
PF22852,,"Sulfocyanin, N-terminal"
PF22853,,Protelomerase TelK-like N-terminal domain
PF22854,CL0159,"VEGFR1-3, N-terminal Ig-like domain"
PF22855,,"DNA (cytosine-5-)-methyltransferase, N-terminal"
PF22856,,Peptide tarsal-less 1A/2A
PF22857,,Male-specific sperm protein Mst87F
PF22858,CL0021,Domain of unknown function (DUF7016)
PF22859,,Induced by infection
PF22860,CL0020,Domain of unknown function (DUF7017)
PF22861,,GEO12453p1-like
PF22862,,Halocin 8-like N-terminal domain
PF22863,,TraI-like middle domain
PF22864,,ArgL-like
PF22865,,Small protein MgtS-like
PF22867,,Protein YoaL
PF22868,,Protein YmiA-like
PF22869,,Protein PssL
PF22870,,Protein YibX
PF22871,CL0020,AimR transcriptional regulator-like
PF22872,,Domain of unknown function (DUF7018)
PF22873,,"Out at first, C-terminal"
PF22874,,"SBE2, middle domain"
PF22875,CL0004,Glu2-Pro domain
PF22876,,"SBE2, N-terminal domain"
PF22877,CL0221,"Thc1, RRM domain"
PF22878,,SPT2 N-terminal domain
PF22879,,Abortive infection phage resistance protein N-terminal domain
PF22880,CL0021,Family of unknown function (DUF7019)
PF22881,,"FilE, C-terminal domain"
PF22882,CL0818,GT-D fold-like domain
PF22883,,"Consortin, N-terminal domain"
PF22884,,Telomere ends associated C-terminal domain
PF22885,,Domain of unknown function (DUF7020)
PF22886,,Domain of unknown function (DUF7021)
PF22887,,Family of unknown function (DUF7022)
PF22888,,FIMAH domain
PF22889,,"Telomere ends associated, middle domain"
PF22890,CL0020,EMC2 TPR-like repeat domain
PF22891,CL0007,Eukaryotic type KH-domain (KH-domain type I) (327.11.2)
PF22892,CL0196,MRPL44 dsRNA-binding domain
PF22893,CL0072,Ubiquitin-like domain
PF22894,CL0849,Domain of unknown function (DUF7023)
PF22895,CL0202,Domain of unknown function (DUF7024)
PF22896,CL0021,"Ribonuclease R, OB first domain, N-terminal"
PF22897,CL0819,TIL-like domain
PF22898,CL0287,"BOS complex subunit NOMO1-like, first beta sandwich domain"
PF22899,CL0329,"SMCHD1, ribosomal S5 domain 2-like domain"
PF22900,CL0072,"Ubiquitin carboxyl-terminal hydrolases, Ubiquitin-like 1"
PF22901,CL0196,Ferlin dsRNA-binding domain-like domain
PF22902,CL0287,"BOS complex subunit NOMO1-like, beta sandwich domain"
PF22903,CL0116,"Diels-Alderase, C-terminal domain"
PF22904,CL0287,"BOS complex subunit NOMO1-like, second beta sandwich domain"
PF22905,CL0352,Hydrolase N-terminal helical domain
PF22906,CL0083,"L-gulonolactone oxidase 2-like, C-terminal domain"
PF22907,CL0202,"Alpha-mannosidase, jelly roll domain"
PF22908,CL0229,"Histone-lysine N-methyltransferase NSD-like, PHD zinc finger"
PF22909,,"Caulimovirus coat protein, conserved domain"
PF22910,,"Enhanced disease resistance 4-like, N-terminal domain"
PF22911,,"Proline-rich AKT1 substrate 1, N-terminal domain"
PF22912,,Zinc finger domain of DNA polymerase-epsilon
PF22913,,"NBAS subunit of NRZ tethering complex, C-terminal"
PF22914,CL0159,Fibulin C-terminal Ig-like domain
PF22915,,Armadillo-like helical domain-containing protein 5
PF22916,CL0023,"UTP25, NTP hydrolase-like domain"
PF22917,CL0063,PRISE-like Rossmann-fold domain
PF22918,CL0154,"PTEN2, C2 domain"
PF22919,,C-terminal domain of V and A type ATP synthase
PF22920,CL0219,UvrC Ribonuclease H-like domain
PF22921,CL0110,Fukutin-related protein stem domain
PF22922,CL0161,NLP protein GAF domain
PF22923,,"Kinesin-like protein KIF2A-like, N-terminal"
PF22924,CL0087,"Acyl-CoA oxidase, C-alpha1 domain"
PF22925,CL0004,"Trans-sialidase, C-terminal domain"
PF22926,CL0229,"C1 domain-like, C-terminal"
PF22927,CL0020,"Integrator complex subunit 1, R3 domain"
PF22928,CL0020,"Integrator complex subunit 1, R4 domain"
PF22929,CL0020,"Integrator complex subunit 1, INTS2-binding domain"
PF22930,,PDXDC1-like central domain
PF22931,CL0003,SAM domain-like
PF22932,CL0072,DUF569 associated ubiquitin-like domain
PF22933,,"ComC, supersandwich domain"
PF22934,,Spartan-like zinc binding domain
PF22935,CL0539,"Large ribosomal subunit protein mL44, endonuclease domain"
PF22936,,"Pol polyprotein, beta-barrel domain"
PF22937,,PDXDC1-like second central domain
PF22938,CL0010,"Integrase p58, C-terminal domain"
PF22939,CL0123,"GPI inositol-deacylase, winged helix domain"
PF22940,CL0020,"CCR4-NOT transcription complex subunit 1, N-terminal domain"
PF22941,,Transcriptional adapter 2-alpha-like domain
PF22942,,Domain of unknown function (DUF7025)
PF22943,CL0123,Putative helix-turn-helix domain
PF22944,,"Diacylglycerol kinase delta, helical domain"
PF22945,CL0418,LEM-3-like GIY-YIG domain
PF22946,,CPC1/SPEF2 domain D5
PF22947,CL0072,"Leucine--tRNA ligase, ubiquitin-like domain"
PF22948,,"MINAR1, N-terminal helical domain"
PF22949,,"Heme-regulated eIF-2-alpha kinase, helical domain"
PF22950,,Domain of unknown function (DUF7026)
PF22951,,Three-helical bundle domain
PF22952,CL0007,Eukaryotic type KH-domain (KH-domain type I)
PF22953,CL0063,"Polyketide synthase extender module SpnB, Rossmann fold domain"
PF22954,CL0347,Domain of unknown function (DUF7027)
PF22955,CL0001,"RECK-like, EGF-like 1 domain"
PF22956,CL0020,"VPS15-like, helical domain"
PF22957,CL0159,NUP210 Ig-like domain
PF22958,CL0020,"E3 ubiquitin-protein ligase listerin, N-terminal domain"
PF22959,CL0159,NUP210 Ig-like domain 15
PF22960,CL0123,"E3 ubiquitin-protein ligase UBR1-like, winged-helix domain"
PF22961,,"Reversion-inducing cysteine-rich with Kazal motifs, N-terminal"
PF22962,CL0159,NUP210 Ig-like domain 7
PF22963,CL0159,NUP210 Ig-like domain 3
PF22964,CL0020,"Protein zer-1 homolog-like, C-terminal domain"
PF22965,,"Integrator complex subunit 7, C-terminal domain"
PF22966,,"Integrator complex subunit 7, C-terminal domain in plants"
PF22967,CL0159,NUP210 Ig-like domain 1
PF22968,CL0306,E3 ubiquitin-protein ligase rififylin-like domain
PF22969,CL0159,NUP210 Ig-like domain 2
PF22970,CL0081,Domain of unknown function (DUF7028)
PF22971,CL0159,"VEGFR-1-like, immunoglobulin-like domain"
PF22972,CL0266,EVH1-like domain in PP4R3 protein
PF22973,CL0364,"Alpha-glucan water dikinase, phosphohistidine-like domain "
PF22974,,Domain of unknown function (DUF7029)
PF22975,CL0743,EPS8 spectrin-like domain
PF22976,CL0221,RRM domain
PF22977,CL0123,"Winged helix domain, variant"
PF22978,,"Peroxisome biogenesis protein 22, Haloacid dehydrogenase-like domain"
PF22979,CL0123,Winged helix-turn-helix domain
PF22980,CL0123,Myb-like DNA-binding domain
PF22981,,"Mediator of RNA polymerase II transcription subunit 14, RM2"
PF22982,CL0123,"ATP-dependent helicase HRQ1, winged helix domain"
PF22983,,"Mediator of RNA polymerase II transcription subunit 14, RM8"
PF22984,,"Mediator of RNA polymerase II transcription subunit 14, RM6"
PF22985,CL0007,"Protein bicaudal C homolog 1, KH-like domain"
PF22986,CL0159,"ELFN1/ELFN2, fibronectin type-III domain"
PF22987,CL0010,"Lysine-specific demethylase 3B, tudor domain"
PF22988,CL0010,"Lysine-specific demethylase 3B, PWWP domain"
PF22989,CL0010,Domain of unknown function (DUF7030)
PF22990,,Phosphatidylserine Lipase ABHD16 N-terminal domain
PF22991,,"Gag1-like, lock domain"
PF22992,CL0361,"BIRD-IDD transcription factor, fourth C2HC zinc finger"
PF22993,CL0003,Ephrin receptor 1 SAM domain-like
PF22994,,RSC4 Ig-like domain
PF22995,CL0361,"BIRD-IDD transcription factor, third C2HC zinc finger"
PF22996,CL0361,"BIRD-IDD transcription factor, second C2H2 zinc finger"
PF22997,,Chitin synthase 4-like domain
PF22998,CL0257,LYC1 GNAT-like C-terminal domain
PF22999,CL0020,LTN1 family HEAT repeat region
PF23000,CL0184,Chitin synthase N-terminal putative transporter domain
PF23001,CL0570,Membrane-bound Site-1 Protease Family N-terminal domain
PF23002,CL0280,"ATP-dependent RNA helicase DDX60, PIN-like domain"
PF23003,CL0451,Fibronectin type I domain
PF23004,CL0229,"Histone-lysine N-methyltransferase NSD-like, variant PHD zinc finger"
PF23005,CL0792,Domain of unknown function (DUF7032)
PF23006,,"Tyrosine-protein kinase receptor torso, first FN3 domain"
PF23007,CL0494,"STICHEL, DnaA_N-like alpha-beta domain"
PF23008,CL0159,"Tyrosine-protein kinase receptor torso, third FN3 domain"
PF23009,CL0208,Ubiquitin conjugating domain-like
PF23010,CL0072,PHLPP protein RA domain
PF23011,CL0229,"Histone-lysine N-methyltransferase NSD-like, PHD zinc finger 1"
PF23012,CL0266,Syntrophin C-terminal PH domain
PF23013,CL0199,IML1 N-terminal double psi beta barrel domain
PF23014,CL0266,Tiam1 second PH domain-like
PF23015,CL0361,Zinc finger found in WIZ protein
PF23016,CL0123,RsmI C-terminal HTH domain
PF23017,CL0822,"Tospovirus NSs-like, WIV_2 domain"
PF23018,CL0822,Cypovirus WIV domain
PF23019,,Family of unknown function (DUF7033)
PF23020,,"Peroxisomal membrane protein PEX14-like, central"
PF23021,CL0015,"PGAP2IP, second transmembrane domain"
PF23022,CL0015,"PGAP2IP, first transmembrane domain"
PF23023,CL0381,Anti-Pycsar protein Apyc1
PF23024,CL0531,"Disco-interacting protein 2-like, AMP domain "
PF23025,CL0522,"C2 domain-containing protein 5, YbjQ-like domain"
PF23028,CL0522,"C2 domain-containing protein 5, fifth YbjQ-like domain"
PF23030,,"SCAF11-like, C-terminal domain"
PF23031,CL0202,"ELAPOR1-like, galactose binding domain "
PF23032,CL0202,"ELAPOR1-like, galactose-binding domain"
PF23033,CL0159,Domain of unknown function (DUF7034)
PF23034,CL0159,Domain of unknown function (DUF7035)
PF23035,CL0537,"RING finger protein unkempt homolog-like, CCCH zinc finger"
PF23036,,"Trafficking protein particle complex subunit 10-like, N-terminal"
PF23037,CL0010,"Transcription elongation factor SPT5, KOWx domain   "
PF23038,CL0010,"Transcription elongation factor SPT5 homolog 1/2, KOW6 domain"
PF23039,CL0203,TMEM132 cohesin-like domain
PF23040,CL0266,"Protein phosphatase Slingshot homolog 1-like, PH domain-like"
PF23041,CL0032,Domain of unknown function (DUF7036)
PF23042,CL0010,"Transcription elongation factor SPT5, KOW1 domain"
PF23043,CL0010,"UBE2O, SH3-B domain"
PF23044,CL0010,"UBE2O, ubiquitin binding SH3-C domain   "
PF23045,,Domain of unknown function (DUF7037)
PF23046,CL0010,"UBE2O, tandem tSH3-B domain"
PF23047,,Domain of unknown function (DUF7038)
PF23048,CL0010,"UBE2O, N-terminal SH3-A domain   "
PF23049,,Domain of unknown function (DUF7039)
PF23050,CL0007,"N4BP1, first type I KH-domain"
PF23051,,Domain of unknown function (DUF7040)
PF23052,CL0007,"N4BP1, second type I KH-domain   "
PF23053,CL0214,"N4BP1, UBA-like domain"
PF23054,CL0214,"N4BP1, C-terminal UBA domain"
PF23055,CL0523,Domain of unknown function (DUF7041)
PF23056,,"MEX67-like, NTF2-like domain"
PF23057,,"ZCCHC3, first RNA-binding domain"
PF23058,,"ZCCHC3, second RNA-binding domain"
PF23059,CL0164,"M02D8_5-like, sixth CUB domain"
PF23060,CL0164,"M02D8_5-like, first CUB domain"
PF23061,CL0164,"M02D8_5-like, second CUB domain"
PF23062,CL0164,"M02D8_5-like, third CUB domain"
PF23063,CL0164,"M02D8_5-like, fourth CUB domain"
PF23064,CL0164,"M02D8_5-like, fifth CUB domain"
PF23065,CL0266,PH domain associated with SMP domain
PF23066,CL0266,C-Maf-inducing protein PH domain
PF23067,,Uncharacterised protein MG280
PF23068,CL0164,"M02D8_5-like, seventh CUB domain"
PF23069,CL0116,Domain of unknown function (DUF7042)
PF23070,CL0116,Domain of unknown function (DUF7043)
PF23071,CL0116,Domain of unknown function (DUF7044)
PF23073,CL0116,Domain of unknown function (DUF7045)
PF23074,CL0266,PH domain found in tandem in fungal proteins
PF23075,CL0361,"Zinc finger protein 462, C2H2 zinc finger"
PF23076,CL0266,PH domain found in tandem in fungal proteins
PF23077,CL0361,"Zinc finger protein 462, first C2H2 zinc finger"
PF23078,CL0123,"Chromodomain-helicase-DNA-binding protein 6-9, tri-helical"
PF23079,CL0123,"Nucleolar protein 4, helical"
PF23080,CL0266,Domain of unknown function (DUF7046)
PF23081,CL0123,"Kinesin-like protein KIF26A/B, tri-helical"
PF23082,CL0123,Myb-like DNA-binding domain
PF23083,CL0584,"Rho GTPase-activating protein 35-like, FF domain"
PF23084,CL0007,"PARP14, first type I KH domain"
PF23085,CL0221,"PARP14, third RRM domain   "
PF23086,CL0010,"Coilin, C-terminal Tudor domain"
PF23087,CL0226,"ELAPOR1-like, mannose 6-phosphate receptor homology domain"
PF23088,,Domain of unknown function (DUF7047)
PF23089,,"ELAPOR1-like, C-terminal domain"
PF23090,CL0014,"MBTPS1, fourth GATase-like domain"
PF23091,,"ELAPOR1-like, TNF receptor-like"
PF23092,CL0072,"Neuron navigator 1-like, ubiquitin-like domain"
PF23093,CL0202,"Teneurin-3-like, galactose-binding domain-like"
PF23094,CL0159,"MBTPS1, third Ig-like domain"
PF23095,CL0007,"Transcription termination/antitermination protein NusA, KH domain"
PF23096,CL0020,"Proteasome activator complex subunit 4-like, HEAT repeat-like"
PF23097,,"Nucleolar protein 10-like, second domain"
PF23098,CL0186,"Nucleolar protein 10-like, N-terminal domain"
PF23099,CL0020,"Small subunit processome component 20 homolog, C-terminal"
PF23100,,DUF2096 N-terminal four-helical bundle domain
PF23101,CL0361,"First Zinc fingers C2H2 type, ZNF451"
PF23102,CL0361,"Second Zinc fingers C2H2 type, ZNF451"
PF23103,CL0361,"Fifth Zinc fingers C2H2 type, ZNF451"
PF23104,CL0361,"Sixth Zinc fingers C2H2 type, ZNF451"
PF23105,CL0001,Integrin EGF domain
PF23106,CL0001,Teneurin-like EGF domain
PF23107,CL0361,"Two consecutive Zinc fingers C2H2 type, ZNF451"
PF23108,CL0361,"Two consecutive Zinc fingers C2H2 type, ZNF451"
PF23109,CL0823,"RTEL1 helicase, ARCH domain"
PF23110,,KCTD8/12/16 H1 domain
PF23111,CL0199,PEX6 N1 domain
PF23112,CL0010,U-box protein 62/63 C-terminal
PF23113,,"E3 ubiquitin-protein ligase MARCHF6-like, C-terminal domain"
PF23114,CL0063,"HRPKS sdrA-like, NAD(P)-binding Rossmann-fold domain"
PF23115,CL0361,"STOP2-like, C2H2-type zinc finger"
PF23116,CL0824,"RTEL1, HHD domain"
PF23117,,DpnD N-terminal domain
PF23118,CL0361,"STOP2-like, C2H2-type zinc finger"
PF23119,,"Telomerase reverse transcriptase, CTE domain"
PF23120,CL0199,Peroxisomal ATPase 6 N-terminal
PF23121,CL0616,"AIPP2, SPOC-like domain"
PF23122,CL0154,"ITFG1, C2 domain"
PF23123,CL0020,"WDR72, alpha-solenoid domain"
PF23124,,"Antitoxin Xre/MbcA/ParS-like, N-terminal"
PF23125,,"Antitoxin Xre/MbcA/ParS-like, middle domain"
PF23126,CL0186,Domain of unknown function (DUF7048)
PF23127,,"DotM, C-terminal cytoplasmic domain"
PF23128,CL0522,YbjQ-like domain
PF23129,,DotZ
PF23130,,IcmW   
PF23131,,DotY
PF23132,,Domain of unknown function (DUF7049)
PF23133,CL0161,Domain of unknown function (DUF7050)
PF23134,,"TRIP4, third domain"
PF23135,,TRI4 N-terminal
PF23136,CL0020,Domain of unknown function (DUF7051)
PF23137,CL0167,HVO_0758 mu-protein
PF23138,CL0825,"Armc9, CTLH-like domain"
PF23139,CL0021,"ATP-dependent DNA helicase YrrC, OB-fold domain"
PF23140,,Podophage GP4 fiber I protein gp80
PF23141,CL0159,NOMO Ig-like domain
PF23142,CL0266,PLEKHM2 PH domain-like
PF23143,,"P5A-ATPase, transmembrane helical hairpin"
PF23144,CL0159,Receptor-type tyrosine-protein phosphatase U Fn3 domain
PF23145,,"IFT121, second zinc finger domain"
PF23146,,"IFT121, first zinc finger domain"
PF23147,,"NAD-dependent glutamate dehydrogenase, N-terminal domain"
PF23148,,Podophage GP4 fiber-tail adaptor protein gp77
PF23149,CL0214,Cdr2 UBA domain
PF23150,CL0608,CFAP61 dimerisation domain
PF23151,CL0826,NuiA-like 
PF23152,CL0070,"NAD-specific glutamate dehydrogenase, second domain"
PF23153,,Aip3p/Bud6 N-terminal domain
PF23154,,"KANSL3, helical domain"
PF23155,CL0209,Domain of unknown function (DUF7053)
PF23156,CL0072,Domain of unknown function (DUF7054)
PF23157,,Domain of unknown function (DUF7055)
PF23158,,Domain of unknown function (DUF7056)
PF23159,CL0123,Repressor Rok winged helix domain
PF23160,CL0743,Periplakin spectrin-like repeat
PF23161,CL0123,Double HTH domain
PF23162,CL0243,C962R protein N-terminal AEP domain
PF23163,CL0021,CSD-like barrel domain
PF23164,CL0072,AVO1 ubiquitin-like domain
PF23165,CL0361,F-box only protein 41 C2H2 zinc finger 
PF23166,CL0159,Alpha-glucan water dikinase 1 Ig-like N-terminal domain
PF23167,,Domain of unknown function (DUF7057)
PF23168,,"CUL7/CUL9, N-terminal beta-barrel domain"
PF23169,CL0029,Halogenase D
PF23170,CL0827,Period circadian protein homolog bHLH-like domain
PF23171,CL0827,Hypoxia-inducible factor 1-alpha bHLH domain
PF23172,CL0827,Nuclear receptor coactivators bHLH domain
PF23173,CL0827,Transcription factor SAC51 bHLH domain
PF23174,CL0827,ILI bHLH domain
PF23175,CL0827,Stimulated by retinoic acid gene 8 protein bHLH domain
PF23176,CL0827,Transcription factor LHW bHLH domain
PF23177,CL0827,Iron-related transcription factor 3 bHLH domain
PF23178,,ADAMTS C-terminal helical domain
PF23179,CL0827,INO2 bHLH domain
PF23180,,Receptor-like PK ALE2 N-terminal domain
PF23181,CL0827,INO4 bHLH domain
PF23182,CL0828,AtC3H46 PABC domain
PF23183,CL0827,NPAS4 bHLH domain
PF23184,CL0186,"CFAP43, WD40 domain"
PF23185,CL0186,CFAP43 N-terminal domain
PF23186,CL0123,Domain of unknown function (DUF7059)
PF23187,CL0172,UBX7 N-terminal domain
PF23188,,"Piezo1-like, transmembrane helical unit"
PF23189,,Uncharacterised protein family (UPF0261) C-terminal domain
PF23190,,TRPY1 N-terminal linker helical domain
PF23191,CL0123,"MCM3-like, winged helix domain"
PF23192,CL0287,NOMO C-terminal transthyretin-like domain 
PF23193,CL0287,NOMO third transthyretin-like domain
PF23194,CL0287,NOMO fifth transthyretin-like domain
PF23195,,Ubiquilin-1-like domain
PF23196,CL0287,NOMO sixth transthyretin-like domain
PF23197,CL0159,AIR9 A9 domain
PF23198,CL0304,"PDE8A-like, N-terminal domain"
PF23199,CL0648,Domain of unknown function (DUF7060)
PF23200,CL0648,Domain of unknown function (DUF7061)
PF23201,,Domain of unknown function (DUF7062)
PF23202,CL0829,ZNF598 PAH domain
PF23203,,KIF21A-like domain
PF23204,,KIF21A-like domain
PF23205,CL0541,Domain of unknown function (DUF7063)
PF23206,,PCDH15-like domain
PF23207,CL0266,Prospore membrane adapter protein SPO71 PH domain
PF23208,CL0361,ZNF598 C2H2 zinc finger domain
PF23209,CL0257,"Increased DNA methylation 1, C-terminal"
PF23210,CL0020,"MROH2B-like, HEAT repeats"
PF23211,CL0022,"Leucine-rich repeat and WD repeat-containing protein 1, LRR"
PF23212,CL0116,Domain of unknown function (DUF7064)
PF23213,CL0116,Domain of unknown function (DUF7065)
PF23214,CL0010,Mitochondrial protein cyt-4 SH3 domain
PF23215,CL0186,"Leucine-rich repeat and WD repeat-containing protein 1, WD domain"
PF23216,CL0123,"Mitochondrial protein cyt-4, winged helix"
PF23217,CL0361,Domain of unknown function (DUF7066)
PF23218,CL0266,AIR9 PH-like domain 
PF23219,,LAMB1-like domain
PF23220,CL0020,Pre-mRNA-splicing factor SYF1 middle HAT repeat
PF23221,CL0020,"MROH2B-like, HEAT repeats"
PF23222,CL0221,"PAR14-like, first RRM domain"
PF23223,CL0361,"Zinc finger protein 462, C2H2 zinc finger"
PF23224,CL0361,"Zinc finger protein 462, second C2H2 zinc finger   "
PF23225,CL0361,"Zinc finger protein 462, seventh C2H2 zinc finger"
PF23226,CL0530,"PGAP2IP, C-terminal nuclease-like domain"
PF23227,CL0020,"MROH2B-like, HEAT repeats"
PF23228,CL0839,PCFS4 zinc finger domain
PF23229,,"Alpha-glucan water dikinase, DUF7067"
PF23230,CL0361,C2H2-type zinc finger
PF23231,CL0020,Pre-mRNA-splicing factor Syf1/CRNKL1 C-terminal HAT repeat
PF23232,CL0671,Fungal AAA+ ATPase lid domain
PF23233,CL0020,Pre-mRNA-splicing factor Syf1/CNRKL1 N-terminal HAT repeat
PF23234,CL0123,"Large helicase-related protein, winged-helix domain"
PF23235,CL0123,"Large helicase-related protein, winged-helix domain"
PF23236,CL0123,"Large helicase-related protein, winged-helix domain"
PF23237,CL0159,HYR-like domain with 4 cysteines
PF23238,CL0671,Domain of unknown function (DUF7068)
PF23239,,Domain of unknown function (DUF7069)
PF23240,CL0020,PRP39 N-terminal HAT repeat
PF23241,CL0020,PRP39 C-terminal HAT repeat
PF23242,CL0671,"TRIP13-like, AAA+ ATPase lid C-terminal domain"
PF23243,CL0020,"HEATR1-like, HEAT repeats"
PF23244,CL0451,Von Willebrand factor-like domain
PF23245,CL0221,"PARP14, second RRM domain"
PF23246,,"CDK5 regulatory subunit-associated protein 2-like, coiled coil"
PF23247,CL0022,"Plant disease resistance protein RPS2-like, leucine-rich repeats"
PF23248,CL0007,"PARP14, second type I KH domain"
PF23249,CL0007,"PARP14, third type I KH domain"
PF23250,,Zinc finger domain of DNA polymerase-epsilon
PF23251,CL0007,"PARP14, fourth type I KH domain"
PF23252,CL0007,"PARP14, fifth type I KH domain"
PF23253,CL0007,"PARP14, sixth type I KH domain"
PF23254,CL0007,"PARP14-like, eighth type I KH domain"
PF23255,CL0214,Domain of unknown function (DUF7070)
PF23256,CL0039,Plant cation/H(+) antiporter domain
PF23257,,Domain of unknown function (DUF7071)
PF23258,CL0010,Domain of unknown function (DUF7072)
PF23259,CL0039,"Plant cation/H(+) antiporter, C-terminal domain"
PF23260,CL0692,"SEMA5B-like, TSP-1 type 1"
PF23261,CL0537,"UNK-like, CCCH zinc finger"
PF23262,CL0015,"NFD4, C-terminal domain"
PF23263,,Mucin-4-like C8-3 domain
PF23264,,Domain of unknown function (DUF7073)
PF23265,CL0159,"KY-like, immunoglobulin-like domain"
PF23266,CL0186,"VPS11-like, N-terminal beta-propeller"
PF23267,,ENOX1-like domain
PF23268,,RIN1-like domain
PF23269,CL0051,Domain of unknown function (DUF7074)
PF23270,CL0137,"Glycerol-3-phosphate acyltransferase RAM2-like, HAD-like domain"
PF23271,CL0020,"Stalled ribosome sensor GCN1-like, HEAT repeats"
PF23272,CL0113,Domain of unknown function (DUF7075)
PF23273,CL0159,Domain of unknown function (DUF7076)
PF23274,CL0159,Domain of unknown function (DUF7077)
PF23275,CL0020,"ESX-1 secretion-associated protein EspA-like, TPR repeats"
PF23276,CL0020,Fungal tetratrico peptide repeats
PF23277,CL0159,Deleted in lung and esophageal cancer protein 1 Ig domain
PF23278,CL0791,"Piwi, N-terminal domain"
PF23279,CL0020,Fungal tetratrico peptide repeats
